movieId,genre
27721,Romance
31696,Fantasy
32011,Thriller
42015,Adventure
42191,Animation
43558,Comedy
46335,Action
47124,Animation
47423,Drama
50685,Romance
50794,Action
51698,Children
53460,Comedy
57528,War
58287,Thriller
60737,Romance
62434,Comedy
64983,Drama
66943,Crime
68536,Documentary
71282,Documentary
71327,Drama
74727,Comedy
81847,Children
86892,Thriller
87222,Animation
88125,Action
95475,Adventure
96520,Drama
98203,Drama
99574,Drama
101074,Horror
103219,Horror
103335,Children
103755,Comedy
104245,Adventure
106696,Adventure
107314,Mystery
107410,Adventure
115065,Animation
117922,Adventure
127132,Drama
134004,Comedy
144352,Action
145994,Comedy
151315,Action
157108,Western
161594,Action
163056,Adventure
164881,Action
168326,Romance
173925,Sci-Fi
177285,Action
180987,Children
182731,Sci-Fi
183011,Crime
183611,Action
20,Action
95,Adventure
1068,Crime
1480,Drama
1963,Comedy
2404,Adventure
2731,Crime
2764,Romance
2782,Horror
2800,Drama
2962,Romance
3114,Comedy
3379,Drama
3441,Drama
3572,Sci-Fi
3968,Comedy
4024,Romance
4116,Comedy
4167,Thriller
4321,Western
4339,Drama
4535,Western
4573,Comedy
4645,Crime
4735,Sci-Fi
4765,Drama
4836,Drama
5016,Drama
5083,Drama
5103,Children
5309,Romance
6093,Children
6156,Comedy
6184,Drama
6300,Action
6548,Crime
6554,Musical
6567,Crime
6587,Comedy
6954,Crime
7092,Drama
7149,Romance
7900,Sci-Fi
8117,Action
8534,Children
8614,Comedy
8920,Drama
8987,Documentary
26095,Comedy
26133,Comedy
26391,Romance
26631,Fantasy
27482,Sci-Fi
31737,Thriller
32587,Film-Noir
33815,Romance
36525,Romance
38164,Romance
38294,Action
41724,Documentary
44597,Action
50354,Comedy
51927,Horror
52241,Thriller
52950,Horror
57637,Thriller
64957,Fantasy
65126,Drama
69118,Drama
70663,Comedy
71156,Action
71494,Thriller
74580,Comedy
74789,Adventure
77846,Crime
82744,Action
83613,Western
83796,Crime
85788,Horror
86068,Horror
92681,Comedy
101088,Thriller
102084,Fantasy
102088,Action
104908,Thriller
105020,Action
106696,Animation
109187,Sci-Fi
111659,Adventure
111732,Drama
113345,Action
125970,Comedy
126430,Adventure
130520,Comedy
143458,Mystery
143472,Thriller
170411,Comedy
29,Sci-Fi
117,Drama
314,Fantasy
351,Drama
1151,Fantasy
1287,Action
1367,Adventure
1375,Sci-Fi
1445,Comedy
1542,Romance
1646,Sci-Fi
1834,Mystery
2058,Thriller
2411,Drama
2414,Children
2565,Romance
2737,Drama
3361,Comedy
3473,Comedy
3877,Action
4055,Drama
4237,Documentary
4354,Crime
4787,Drama
4831,Comedy
4836,Romance
5389,Adventure
5621,Action
5849,Comedy
5867,Thriller
6022,Drama
6041,Drama
6330,Drama
6754,Fantasy
6764,Adventure
6773,Comedy
8907,Children
8947,Horror
25757,Musical
26038,Comedy
26078,Drama
26151,Crime
26743,Animation
27441,Animation
30749,Drama
32289,Drama
32649,Drama
33834,Action
36931,Action
37729,Musical
44849,Action
47122,Romance
49284,Drama
56336,Action
57843,Crime
60753,Drama
60904,Comedy
61123,Musical
61705,Drama
62155,Comedy
68945,Animation
69849,Drama
70293,Drama
72919,Drama
74946,Comedy
80219,Adventure
86295,Mystery
86815,Action
91873,Musical
91974,Fantasy
92938,Thriller
93443,Comedy
94478,Comedy
95939,Comedy
96518,Drama
96861,Crime
97172,Horror
98160,Comedy
103075,Thriller
103539,Romance
104374,Drama
105254,Comedy
105585,Action
108190,Sci-Fi
114670,Comedy
117630,Action
128512,Romance
134021,Drama
136341,Children
142056,Action
142074,Thriller
142222,Drama
152105,Comedy
157296,Animation
161354,Animation
162578,Fantasy
162590,Romance
176419,Thriller
183611,Comedy
92760,Horror
15,Action
193,Drama
240,Thriller
253,Horror
258,Fantasy
438,Comedy
512,Sci-Fi
551,Musical
585,Comedy
837,Comedy
861,Crime
920,War
979,War
1007,Comedy
1016,Children
1234,Comedy
1783,Thriller
1792,Thriller
1902,Romance
2055,Action
2145,Comedy
2149,Horror
2338,Thriller
2581,Comedy
2816,War
2885,Romance
2932,Drama
2989,Adventure
3052,Comedy
3081,Romance
3308,Comedy
3386,Drama
3429,Animation
3563,Action
3754,Children
3999,Adventure
4023,Drama
4086,Action
4232,Action
4440,Action
4520,Comedy
4534,Western
4591,Adventure
4610,Thriller
4721,Action
4786,Horror
4828,Romance
5051,Romance
5064,Adventure
5240,Action
5319,Thriller
5505,Comedy
5679,Horror
6342,Romance
6380,Documentary
6407,Romance
6484,Crime
6506,Thriller
6545,Romance
6885,Romance
6946,Fantasy
7057,Comedy
7155,Comedy
7266,Horror
7925,Adventure
8094,Western
8838,Drama
8973,Thriller
26776,Adventure
27850,Documentary
31184,Animation
31553,Sci-Fi
31692,Comedy
31921,Mystery
32058,Drama
32587,Thriller
33801,Action
37495,Fantasy
39435,Western
42015,Action
48678,Horror
53000,Thriller
58287,Drama
58306,War
59118,Drama
59129,Horror
60072,Thriller
60291,Documentary
61818,Adventure
62849,Crime
66511,Drama
66943,Thriller
70521,Fantasy
71810,War
74075,Comedy
80858,Comedy
82854,Comedy
84772,Sci-Fi
88593,Drama
91784,Fantasy
96935,Romance
97860,Thriller
98243,Animation
103539,Comedy
104074,Children
105355,Drama
106540,Comedy
106927,Comedy
108188,Drama
108949,Crime
111659,Action
111795,Comedy
120138,Comedy
132046,Sci-Fi
142424,Drama
148978,Horror
160341,Thriller
161594,Fantasy
172637,Action
174551,Comedy
179053,Sci-Fi
179427,Comedy
54796,Drama
34,Drama
102,Comedy
212,Adventure
250,Comedy
256,Sci-Fi
516,Comedy
575,Comedy
1017,Adventure
1199,Sci-Fi
1242,Drama
1262,Action
1290,Drama
1484,Drama
1500,Crime
1519,Drama
1639,Comedy
1681,Adventure
1732,Comedy
1957,Drama
1993,Horror
2015,Fantasy
2043,Fantasy
2087,Children
2294,Comedy
2297,Fantasy
2376,Thriller
2405,Adventure
2525,Action
2744,Drama
3345,Adventure
3483,Children
3554,Drama
4139,Drama
4141,Comedy
4168,Romance
4270,Comedy
4329,Western
4467,Comedy
4488,Crime
4658,Horror
4690,Crime
4715,Horror
4886,Adventure
4957,Crime
4957,Thriller
5177,Romance
5288,War
5420,War
5480,Comedy
5884,Horror
5954,Drama
5984,Romance
6288,Drama
6708,Crime
6994,Comedy
7044,Mystery
7826,Romance
8125,Romance
8195,Romance
8264,Documentary
8370,Drama
8798,Drama
25746,Drama
26169,Action
27473,Comedy
27689,Crime
31737,Mystery
32917,Comedy
33421,Drama
33683,Horror
40819,Musical
41527,Crime
44849,Animation
46062,Romance
47044,Drama
54272,Animation
54908,Action
55872,Musical
57951,Adventure
60161,Comedy
61350,Action
64969,Comedy
65642,Thriller
65982,Sci-Fi
67788,Comedy
70334,Drama
72165,Adventure
72982,Action
73323,Crime
74754,Comedy
79008,Comedy
80162,Action
81788,Thriller
83349,Action
88810,Drama
89087,Action
91261,Musical
91355,Adventure
101884,Thriller
102802,Horror
110281,Comedy
111759,Action
112852,Adventure
114818,Action
114935,Thriller
118082,Thriller
120130,Animation
128087,Western
128968,Children
130578,Action
133867,Adventure
134775,Adventure
138186,Crime
139642,Drama
157407,Crime
159415,Romance
172585,Children
179819,Action
183227,Comedy
184721,Drama
193567,Drama
6868,Thriller
71211,Comedy
158,Adventure
202,Drama
332,Sci-Fi
407,Thriller
442,Sci-Fi
506,Fantasy
550,Comedy
633,Comedy
761,Action
800,Western
904,Mystery
914,Drama
1179,Film-Noir
1184,Drama
1256,Musical
1350,Thriller
1445,War
1499,Action
1631,Action
1675,Crime
1682,Drama
1783,Romance
1895,Comedy
1944,War
2087,Animation
2370,Adventure
2400,Drama
2612,Drama
2640,Action
2752,Mystery
2766,Comedy
3325,Drama
3706,Horror
3873,Western
3919,Horror
4367,Adventure
4368,Comedy
4371,Crime
4727,Romance
4812,Sci-Fi
4823,Romance
5247,Comedy
5266,Thriller
5293,Drama
5349,Action
5747,War
5883,Horror
5903,Sci-Fi
5927,Romance
5962,Drama
6214,Crime
6711,Comedy
6754,Action
6800,Action
6953,Romance
6978,Drama
7354,Drama
8369,Thriller
26116,Horror
26585,Crime
26736,Crime
26901,Western
27140,Horror
27618,Adventure
27816,Adventure
30793,Adventure
31221,Adventure
32314,Documentary
37741,Drama
42007,Drama
42943,War
43289,Adventure
43684,Comedy
45950,Documentary
46948,Mystery
48744,Drama
50796,Drama
50942,Comedy
55190,Romance
59018,Romance
59814,Crime
61132,Adventure
64614,Crime
65738,Comedy
66915,Musical
68945,Sci-Fi
72874,Action
77364,Drama
78160,Comedy
79333,Crime
79695,Adventure
81512,Drama
84944,Western
85342,Action
89753,Thriller
95497,Adventure
97285,Mystery
100390,Comedy
103339,Drama
104241,Action
105197,Drama
105254,Adventure
106916,Drama
108188,Thriller
114678,Drama
124851,Sci-Fi
128975,Comedy
135567,Adventure
140162,Romance
143001,Crime
152081,Animation
174479,Thriller
175693,Crime
176419,Horror
177763,Mystery
184987,Children
184987,Fantasy
103801,Comedy
173291,Adventure
82,Drama
165,Crime
207,Romance
239,Animation
331,Drama
429,Comedy
480,Adventure
692,Action
692,Sci-Fi
707,Thriller
898,Romance
1253,Sci-Fi
1479,Romance
1569,Romance
1881,Children
1959,Romance
2016,Western
2017,Children
2533,Action
2565,Musical
2620,Romance
2640,Adventure
2734,Thriller
2984,Documentary
3693,Comedy
3958,Drama
4157,Drama
5147,Drama
5589,Drama
5644,Drama
5970,Romance
5991,Crime
6023,Romance
6057,Drama
6157,Action
6254,Romance
6383,Thriller
6548,Action
6782,Musical
6934,Sci-Fi
7080,Musical
7086,Drama
7307,War
7570,Adventure
7772,Film-Noir
7982,Horror
8016,Crime
8526,Adventure
25850,Drama
26344,Action
26741,Romance
26776,Animation
27834,Drama
32019,Comedy
33493,Sci-Fi
37382,Crime
47254,Crime
51357,Thriller
53450,Horror
55052,War
55069,Drama
55110,Drama
55280,Comedy
56715,Drama
60037,Sci-Fi
65577,Children
67665,Musical
68959,Action
69304,Comedy
70208,Thriller
70708,Mystery
74154,Romance
74789,Fantasy
76030,Horror
76743,Adventure
79677,Documentary
80748,Fantasy
82848,Comedy
86781,War
86835,Horror
87430,Sci-Fi
91630,Thriller
92681,Adventure
94677,Comedy
95207,Fantasy
99853,Comedy
118166,Romance
120827,Mystery
126142,Adventure
127052,Crime
152970,Adventure
156553,Animation
159061,Thriller
163386,Animation
172229,Thriller
172705,Documentary
179817,Drama
7930,Horror
76054,Documentary
4,Drama
40,Drama
49,Drama
86,Action
272,Comedy
314,Drama
568,Comedy
788,Comedy
924,Adventure
1003,Thriller
1027,Adventure
1211,Romance
1372,Sci-Fi
1527,Comedy
1562,Thriller
1688,Drama
1702,Children
2008,Crime
2008,Film-Noir
2077,Children
2187,Romance
2376,Adventure
2848,Drama
2989,Action
3745,Children
3798,Mystery
3811,Drama
3884,Comedy
3996,Romance
4031,Western
4042,Western
4091,Comedy
4205,Comedy
4289,Drama
4563,Comedy
4985,Action
5046,Action
5113,Crime
5136,Horror
5404,Drama
5455,Drama
5460,Children
5538,Fantasy
5574,Crime
5618,Adventure
5657,Adventure
6155,Comedy
6203,Comedy
6338,Comedy
6530,Mystery
6534,Action
6665,Horror
6666,Drama
6746,Horror
6797,Crime
6814,Comedy
7044,Crime
7048,Adventure
7153,Fantasy
7320,Romance
7371,Mystery
7449,Drama
7459,Crime
7647,Comedy
7742,Drama
7951,Fantasy
8372,Comedy
8611,Comedy
8626,Sci-Fi
8643,Comedy
8810,Sci-Fi
8813,Drama
8915,Drama
25805,Drama
26391,Musical
26542,Adventure
26686,Comedy
26861,Comedy
26999,Musical
27155,Adventure
27317,Thriller
27808,Comedy
31116,Drama
32657,Drama
33649,Romance
34330,Mystery
43460,Drama
43836,Adventure
45106,Comedy
45175,Comedy
45499,Sci-Fi
49647,Comedy
51662,Action
54004,Comedy
59295,Documentary
59387,Fantasy
60885,Drama
65588,Action
66934,Drama
67508,Action
71745,Drama
73515,Romance
77709,Drama
81784,Drama
89281,Thriller
91483,Crime
93512,Drama
94070,Comedy
94503,Comedy
94919,Thriller
96114,Crime
100498,Action
103685,War
104074,Adventure
106002,Adventure
117849,Comedy
119155,Adventure
124404,Children
130482,Mystery
135567,Sci-Fi
142997,Comedy
144716,Comedy
157130,Drama
159093,Thriller
164647,Comedy
168248,Crime
170939,Action
173255,Comedy
175693,Comedy
176805,Comedy
183199,Documentary
184471,Action
74754,Romance
136859,Adventure
48,Children
236,Action
247,Drama
345,Drama
517,Action
522,Drama
608,Crime
1282,Fantasy
1282,Musical
1321,Thriller
1693,Mystery
1701,Drama
1839,Comedy
1954,Drama
2105,Action
2409,Action
2448,Sci-Fi
2674,Drama
3000,Drama
3417,Adventure
3435,Crime
3489,Adventure
3675,Romance
3676,Horror
3837,Action
3837,Fantasy
3917,Horror
3953,Comedy
4298,Film-Noir
4395,Crime
4477,Adventure
4487,Romance
4700,Romance
4719,Animation
4866,Action
4946,Action
5047,Action
5288,Documentary
5356,Sci-Fi
5433,Adventure
5550,Musical
5915,War
6003,Drama
6301,Thriller
6345,Musical
6612,Documentary
6668,Drama
6707,Horror
6769,Comedy
6863,Comedy
7925,Action
7937,Drama
8045,War
8253,Action
8387,Comedy
8450,Adventure
8730,Action
8773,Thriller
26401,Drama
27328,Comedy
27549,Thriller
27595,Action
30894,Drama
31658,Animation
33294,Horror
33681,Children
33893,Comedy
34312,Comedy
37844,Romance
41527,War
43684,Drama
48593,Thriller
48696,Drama
55232,Sci-Fi
56012,Comedy
56775,Action
59501,Children
60647,Crime
61255,Comedy
63312,Fantasy
64957,Mystery
71530,Action
84187,Drama
85774,Documentary
90945,Drama
93363,Adventure
100106,Documentary
101142,Adventure
102338,Drama
105954,Drama
112175,Adventure
113225,Romance
114180,Sci-Fi
116718,Comedy
126430,Action
127298,Comedy
131796,Drama
133377,Thriller
133545,Drama
137517,Drama
140525,Crime
150596,Drama
158956,Horror
161131,Comedy
170297,Action
172321,Comedy
176389,Adventure
178827,Animation
184245,Documentary
184253,Sci-Fi
104141,Action
9,Action
23,Crime
72,Drama
453,Romance
542,Drama
720,Animation
798,Thriller
1342,Horror
1583,Children
1588,Comedy
1711,Crime
1924,Horror
1974,Thriller
2052,Children
2147,Adventure
2389,Crime
2403,Thriller
2514,Horror
2580,Comedy
2611,Drama
3204,Thriller
3494,Adventure
3508,Action
3674,Comedy
3716,Comedy
4294,Musical
4321,Comedy
4326,Drama
4355,Action
4408,Drama
4643,Sci-Fi
4681,Comedy
4823,Comedy
4902,War
5054,Sci-Fi
5282,Thriller
5448,Comedy
5746,Action
6776,Romance
7064,Fantasy
7713,Horror
7720,Comedy
7757,Action
7810,Sci-Fi
8254,Fantasy
8783,Drama
8795,Drama
26340,Comedy
26585,Drama
26792,Comedy
26913,Action
27266,Romance
27674,Crime
31114,Comedy
32914,Horror
34048,Thriller
37741,Crime
41569,Fantasy
42728,Romance
47202,Romance
48649,Drama
53972,Action
55276,Drama
56003,Sci-Fi
60937,Fantasy
63062,Mystery
66097,Fantasy
66171,Thriller
69640,Drama
71129,Sci-Fi
72167,Drama
72308,Sci-Fi
80693,Drama
84637,Comedy
89678,Romance
92694,Drama
93610,Action
95558,Fantasy
102984,Horror
109848,Thriller
113345,Sci-Fi
113453,Comedy
117107,Drama
119828,Thriller
126921,Adventure
127052,Romance
132157,Crime
134095,Animation
141718,Comedy
148775,Sci-Fi
153070,Comedy
159811,Drama
162344,Comedy
175781,Comedy
48,Animation
364,Drama
901,Musical
935,Comedy
955,Romance
996,Crime
1057,Musical
1232,Mystery
1233,War
1269,Mystery
1285,Comedy
1297,Comedy
1388,Horror
1412,Drama
1551,Drama
1592,Comedy
1619,Adventure
1836,Comedy
1840,Drama
2055,Western
2181,Mystery
2301,Comedy
2392,Comedy
2404,Action
2485,Romance
2606,Horror
2623,Comedy
2670,War
2691,Drama
2761,Children
2797,Comedy
2940,Mystery
3162,Comedy
3422,Comedy
3535,Mystery
3674,Children
3732,Horror
3795,Drama
3978,Drama
4130,Fantasy
4184,Comedy
4270,Thriller
4291,Comedy
4661,Crime
4759,Drama
4822,Children
5294,Drama
5309,Comedy
5377,Romance
5389,Animation
6051,Drama
6341,Drama
6660,Romance
6912,Musical
6953,Drama
7007,Crime
7215,Romance
7243,Drama
7262,Children
7380,Comedy
7619,Drama
7649,Adventure
7843,Comedy
7891,Sci-Fi
8500,Action
8998,Documentary
26593,Action
30850,Drama
31420,Drama
31925,Adventure
32243,Crime
32291,Comedy
36276,Mystery
44193,Romance
44397,Drama
45062,Thriller
45969,Romance
47044,Action
48783,Drama
49530,Action
52435,Animation
53550,Adventure
56801,Action
60303,Thriller
60950,Comedy
65088,Adventure
65261,Children
71131,Documentary
72308,Drama
81520,Crime
81847,Musical
82366,Comedy
85056,Sci-Fi
90524,Thriller
91500,Action
94494,Thriller
103042,Fantasy
104913,Drama
106072,Fantasy
109372,Romance
113278,Crime
115111,Animation
120130,Drama
131480,Action
132333,Drama
132454,Comedy
133377,Sci-Fi
142507,Drama
162606,Drama
165959,Comedy
166183,Animation
176419,Mystery
183635,Mystery
8491,Crime
161,Thriller
210,Western
552,Adventure
694,Drama
711,Adventure
869,Crime
949,Drama
1007,Western
1078,War
1089,Thriller
1223,Sci-Fi
1459,Mystery
2016,Children
2035,Children
2065,Comedy
2149,Comedy
2408,Comedy
2633,Horror
2763,Action
2841,Thriller
3101,Drama
3273,Mystery
3372,War
3396,Musical
3513,Drama
3516,Fantasy
3548,Drama
3577,Drama
3628,Drama
3703,Adventure
3733,Drama
3824,Romance
3914,Drama
4006,Children
4124,Horror
4369,Thriller
4621,Romance
4804,Drama
4857,Drama
4919,Drama
4936,Musical
4970,Drama
4987,Action
5023,Drama
5108,Crime
5424,Thriller
5472,Drama
5597,Sci-Fi
5613,Musical
5712,Mystery
5839,Adventure
6116,Musical
6204,Comedy
6268,Romance
6787,Thriller
6818,Drama
6874,Crime
6884,Drama
7208,Drama
7259,Musical
7379,Drama
7587,Drama
7981,Thriller
26183,Adventure
26236,Romance
26840,Drama
27778,Fantasy
32031,Animation
34164,Comedy
36509,Adventure
38304,Documentary
39449,Comedy
40414,Drama
41285,Crime
42761,Children
45175,Drama
47810,Mystery
50003,Action
55272,Crime
55721,Action
57504,Drama
59336,Action
61465,Thriller
62336,Fantasy
63033,Thriller
65130,Drama
68194,Drama
69644,Animation
70361,Action
74508,Drama
74580,Action
74685,Horror
80864,Comedy
81681,Western
92681,Sci-Fi
94503,Romance
95145,Children
95583,Crime
96610,Sci-Fi
96811,Thriller
99750,Thriller
103772,Sci-Fi
104841,Action
116044,Comedy
117572,Romance
119655,Adventure
127136,Thriller
129354,Comedy
134775,Drama
136511,Comedy
139915,Comedy
149406,Adventure
162578,Children
164200,Animation
169912,Comedy
186587,Sci-Fi
103883,Crime
188,Horror
262,Children
292,Thriller
378,Comedy
536,Drama
551,Fantasy
882,Thriller
929,Thriller
948,Western
998,Crime
1019,Drama
1173,Drama
1224,War
1551,Adventure
1562,Adventure
1661,Mystery
1689,Thriller
1983,Horror
2032,Children
2121,Horror
2184,Comedy
2330,Documentary
2389,Thriller
2405,Romance
2429,Drama
2456,Sci-Fi
2477,Adventure
2775,Drama
2800,Adventure
2874,Romance
3008,Sci-Fi
3087,Fantasy
3323,Comedy
3661,Thriller
3699,Adventure
3826,Horror
4025,Comedy
4195,Mystery
4238,Action
4424,Drama
4497,Sci-Fi
4621,Comedy
4710,Drama
4840,Drama
4902,Drama
4932,Mystery
5419,Mystery
5524,Adventure
5791,Romance
5874,Comedy
6210,Action
6244,Drama
6297,Mystery
6465,Drama
6503,Adventure
6509,Romance
6567,Comedy
6584,Crime
7117,Horror
7123,Fantasy
7361,Romance
7361,Sci-Fi
7386,Drama
7481,Sci-Fi
7720,Action
7980,War
8361,Sci-Fi
8804,Drama
26002,Drama
26587,Romance
27441,Horror
27685,Comedy
31225,Drama
31420,Thriller
36363,Sci-Fi
41566,Children
45440,Drama
45499,Action
46062,Drama
46967,Mystery
46972,Action
50912,Romance
52975,Comedy
55267,Comedy
55765,Drama
58839,Drama
58879,Documentary
59014,Comedy
60818,Thriller
63992,Thriller
67408,Animation
70183,Drama
70334,Musical
74791,Animation
74851,Action
77414,Romance
80083,Fantasy
81156,Comedy
81564,Children
92694,Sci-Fi
93363,Action
94810,Fantasy
98491,Animation
103372,Crime
105801,Drama
107412,Romance
114060,Thriller
114246,Mystery
118326,Thriller
120827,Drama
121097,Comedy
122924,Fantasy
136562,Drama
141400,Action
147378,Sci-Fi
149354,Children
158238,Mystery
168248,Thriller
170777,Children
170939,Children
172233,Drama
82,Comedy
128,Documentary
288,Action
479,Thriller
527,Drama
611,Action
648,Thriller
736,Action
1022,Romance
1111,Documentary
1260,Film-Noir
1267,War
1274,Animation
1332,Thriller
1388,Thriller
1574,Romance
1593,Romance
2239,Comedy
2577,Drama
2639,Drama
2676,Drama
2729,Romance
2826,Fantasy
2995,Thriller
3566,Drama
3574,Horror
4015,Sci-Fi
4191,Romance
4194,War
4962,Adventure
5530,Sci-Fi
5553,Crime
5556,Thriller
5562,Thriller
5615,Drama
5951,Drama
6148,Thriller
6376,Drama
6744,Comedy
6887,Drama
6982,Drama
7049,Comedy
7369,Comedy
7707,Romance
7812,Drama
8253,Animation
8713,Children
8938,Documentary
26504,Mystery
26745,Comedy
26928,Drama
27420,Drama
27683,Action
31921,Comedy
33815,Drama
34482,Drama
43289,Comedy
44020,Animation
45431,Children
47566,Film-Noir
48780,Mystery
51662,Fantasy
52458,Drama
53466,Adventure
55269,Adventure
55946,Drama
57499,Action
57640,Fantasy
59727,Horror
67508,Thriller
69134,Drama
70932,Comedy
73015,Romance
74450,Romance
79895,Fantasy
80489,Drama
90249,Drama
91542,Crime
92391,Horror
93838,Action
95067,Drama
100306,Horror
107408,Comedy
108689,Sci-Fi
110603,Drama
111364,Action
114074,Drama
118166,Drama
120138,Romance
134248,Documentary
136850,Crime
142196,Horror
143245,Fantasy
147372,Adventure
148978,Fantasy
149508,Comedy
152079,Thriller
164226,Sci-Fi
38061,Mystery
236,Romance
382,Thriller
495,Drama
801,Children
806,Crime
970,Crime
1220,Musical
1442,Drama
1497,Action
1945,Crime
2010,Drama
2028,War
2046,Children
2355,Adventure
2763,Mystery
2886,Children
2907,Comedy
3033,Comedy
3113,Horror
3306,Comedy
3353,Comedy
3433,Drama
3442,Drama
3494,Drama
3567,Drama
3704,Adventure
3770,Sci-Fi
4023,Romance
4280,Drama
4432,Film-Noir
4564,Romance
4701,Action
4956,Drama
5111,Thriller
5139,Comedy
5269,Drama
5416,Comedy
5502,Sci-Fi
5736,Horror
5803,Crime
5818,Drama
6193,Drama
6212,Comedy
6350,Adventure
6378,Crime
6793,Children
6975,Thriller
7215,War
7386,Adventure
7492,Horror
7920,Crime
8015,Adventure
8136,Crime
8142,Crime
8977,War
26599,Drama
26701,Crime
27368,Adventure
31223,Children
32009,Comedy
33090,Animation
33201,Romance
41716,Drama
43549,Horror
46862,Drama
47516,Children
48877,Horror
50954,Comedy
51080,Thriller
52462,Fantasy
53464,Adventure
58025,Action
58025,Adventure
58998,Comedy
60514,Action
61697,Mystery
66915,Children
69306,Crime
69526,Adventure
73017,Crime
73858,Comedy
74226,Documentary
74342,War
77421,Romance
86332,Adventure
88125,Mystery
89904,Drama
92420,Sci-Fi
95873,Romance
96004,Animation
96563,Documentary
99636,Drama
104211,Comedy
105731,Horror
111785,Adventure
113275,Drama
114554,Animation
134368,Action
138632,Crime
141810,Drama
159849,Comedy
161582,Crime
168358,Sci-Fi
169982,Action
171759,Western
174055,Action
182715,Thriller
185033,Thriller
7063,Adventure
44665,Mystery
47,Mystery
95,Thriller
118,Romance
224,Comedy
481,Drama
482,Crime
764,Drama
828,Adventure
905,Comedy
916,Romance
1046,Drama
1128,Horror
1180,Comedy
1220,Action
1373,Action
1993,Thriller
2044,Comedy
2123,Fantasy
2171,Romance
2183,Drama
2579,Thriller
2656,Horror
2698,Sci-Fi
2943,Drama
3168,Drama
3176,Thriller
3726,Action
3793,Adventure
3823,Drama
3932,Sci-Fi
4052,Crime
4306,Adventure
4533,Comedy
4818,Drama
4969,Crime
5007,Adventure
5471,Drama
5532,Comedy
5621,Comedy
5646,Drama
6078,Thriller
6101,Thriller
6350,Children
6751,Drama
7050,Romance
7102,Crime
7831,Comedy
8044,Drama
8405,Horror
8463,Drama
25870,Romance
26347,Comedy
26347,Drama
27482,Horror
27731,Adventure
27905,Action
30745,Crime
32898,Sci-Fi
34150,Action
41571,Drama
46723,Thriller
46976,Fantasy
48161,Drama
57526,Crime
57526,Thriller
59421,Comedy
62394,Drama
62956,Adventure
66785,Action
73386,Crime
79185,Comedy
85414,Sci-Fi
87430,Adventure
90888,Action
91947,Horror
96432,Crime
100810,Horror
102880,Action
105213,Drama
112804,Drama
118888,Comedy
121469,Comedy
122490,Thriller
124273,Comedy
127180,Documentary
136859,Sci-Fi
160954,Drama
161918,Action
163985,Thriller
164200,Comedy
177615,Comedy
182823,Action
48,Musical
93,Horror
213,Drama
328,Horror
406,Drama
1011,Fantasy
1104,Drama
